ID,OperationShowTime,OperationTriggerTime,OperationResult,TriggeredButtonName,TargetButtonName,AudioOn,VibrateOn
1,3:48:43 PM,3:48:44 PM,Success,R1,Correct!,True,True
2,3:48:45 PM,3:48:46 PM,Success,L1,Correct!,True,True
3,3:48:47 PM,3:48:48 PM,Success,L2,Correct!,True,True
4,3:48:49 PM,3:48:50 PM,Success,R2,Correct!,True,True
5,3:48:51 PM,3:48:52 PM,Success,L3,Correct!,True,True
6,3:48:53 PM,3:48:54 PM,Success,R3,Correct!,True,True
7,3:48:54 PM,3:48:56 PM,Success,L2,Correct!,True,True
8,3:48:57 PM,3:48:59 PM,Success,R3,Correct!,True,True
9,3:48:59 PM,3:49:03 PM,Fail,R1,Wrong!,True,True
10,3:49:04 PM,3:49:05 PM,Success,R1,Correct!,True,True

